prop_id,Label
129114,Homeowner
129451,Renters
129853,Renters
129937,Homeowner
130114,Renters
130183,Homeowner
130270,Homeowner
130389,Homeowner
130428,Homeowner
130546,Homeowner
130604,Homeowner
130617,Homeowner
130725,Homeowner
130968,Homeowner
131069,Homeowner
131124,Homeowner
131171,Homeowner
131270,Homeowner
131487,Homeowner
131502,Homeowner
131516,Homeowner
131603,Homeowner
131628,Homeowner
131632,Homeowner
131639,Homeowner
131816,Homeowner
131853,Homeowner
131921,Homeowner
131961,Homeowner
131998,Homeowner
132108,Homeowner
132215,Homeowner
132413,Homeowner
132489,Homeowner
132561,Homeowner
132740,Homeowner
132827,Homeowner
132838,Homeowner
132972,Homeowner
133059,Homeowner
133458,Homeowner
133641,Homeowner
133706,Homeowner
133727,Homeowner
133875,Homeowner
133947,Homeowner
133981,Homeowner
134065,Homeowner
134133,Homeowner
134212,Homeowner
134387,Homeowner
134511,Homeowner
134647,Homeowner
134776,Homeowner
134777,Homeowner
135044,Renters
135114,Homeowner
135159,Homeowner
135164,Renters
135222,Homeowner
135293,Homeowner
135300,Homeowner
135303,Homeowner
135400,Homeowner
135529,Renters
135594,Homeowner
135783,Homeowner
135800,Homeowner
135861,Homeowner
135875,Homeowner
135943,Homeowner
136117,Homeowner
136181,Homeowner
136213,Homeowner
136226,Homeowner
136270,Homeowner
136311,Homeowner
136345,Renters
136406,Homeowner
136408,Homeowner
136417,Homeowner
136606,Homeowner
136773,Homeowner
136790,Homeowner
136825,Homeowner
136872,Homeowner
137101,Homeowner
137221,Renters
137236,Homeowner
137326,Homeowner
137444,Homeowner
137527,Renters
137628,Homeowner
137678,Homeowner
137729,Homeowner
137765,Homeowner
137947,Homeowner
137970,Homeowner
138062,Homeowner
138065,Homeowner
138136,Homeowner
138253,Homeowner
138283,Homeowner
138351,Homeowner
138423,Homeowner
138467,Homeowner
138468,Renters
138519,Homeowner
138565,Homeowner
138587,Homeowner
138754,Homeowner
138899,Homeowner
138905,Homeowner
138937,Homeowner
138938,Homeowner
138965,Homeowner
138975,Homeowner
138994,Homeowner
139080,Homeowner
139152,Homeowner
139205,Homeowner
139220,Homeowner
139260,Homeowner
139336,Homeowner
139340,Homeowner
139367,Homeowner
139465,Homeowner
139466,Homeowner
139493,Homeowner
139603,Homeowner
139609,Homeowner
139701,Homeowner
139703,Renters
139795,Homeowner
139815,Homeowner
139981,Homeowner
139995,Renters
140048,Homeowner
140060,Homeowner
140078,Homeowner
140166,Homeowner
140223,Homeowner
140367,Homeowner
140378,Homeowner
140532,Homeowner
140568,Homeowner
140593,Renters
140610,Homeowner
140641,Renters
140688,Renters
140723,Homeowner
140846,Homeowner
140852,Renters
141021,Homeowner
141023,Homeowner
141058,Renters
141060,Homeowner
141067,Homeowner
141073,Homeowner
141100,Homeowner
141114,Renters
141181,Homeowner
141189,Homeowner
141199,Homeowner
141209,Homeowner
141221,Renters
141290,Renters
141297,Homeowner
141307,Renters
141347,Homeowner
141389,Homeowner
141454,Homeowner
141523,Homeowner
141528,Homeowner
141603,Homeowner
141605,Homeowner
141647,Homeowner
141648,Homeowner
141660,Homeowner
141675,Homeowner
141727,Homeowner
141787,Homeowner
141863,Homeowner
141905,Homeowner
141969,Renters
141985,Homeowner
142010,Homeowner
142048,Homeowner
142049,Homeowner
142066,Homeowner
142093,Homeowner
142195,Homeowner
142196,Homeowner
142238,Homeowner
142256,Homeowner
142259,Homeowner
142267,Homeowner
142273,Homeowner
142279,Homeowner
142312,Homeowner
142354,Homeowner
142369,Homeowner
142386,Homeowner
142446,Homeowner
142486,Homeowner
142550,Homeowner
142590,Homeowner
142591,Homeowner
142597,Homeowner
142601,Homeowner
142612,Renters
142686,Homeowner
142719,Homeowner
142757,Homeowner
142760,Homeowner
142766,Homeowner
142803,Homeowner
142823,Homeowner
142843,Homeowner
142858,Homeowner
142866,Homeowner
142926,Homeowner
142942,Renters
142945,Homeowner
142957,Homeowner
142968,Homeowner
142986,Homeowner
143011,Homeowner
143027,Renters
143043,Homeowner
143052,Homeowner
143069,Homeowner
143083,Homeowner
143098,Homeowner
143108,Renters
143121,Homeowner
143123,Homeowner
143161,Homeowner
143169,Homeowner
143183,Homeowner
143206,Homeowner
143213,Homeowner
143235,Homeowner
143249,Homeowner
143263,Homeowner
143278,Homeowner
143372,Homeowner
143437,Homeowner
143445,Homeowner
143450,Homeowner
143551,Homeowner
143574,Homeowner
143596,Homeowner
143609,Homeowner
143633,Homeowner
143722,Homeowner
143739,Homeowner
143752,Homeowner
143757,Homeowner
143782,Homeowner
143809,Homeowner
143852,Renters
143881,Homeowner
143908,Homeowner
143927,Homeowner
143935,Homeowner
143951,Homeowner
143993,Renters
144050,Homeowner
144150,Homeowner
144159,Renters
144258,Homeowner
144283,Homeowner
144313,Renters
144325,Homeowner
144341,Renters
144372,Renters
144379,Homeowner
144425,Homeowner
144427,Homeowner
144434,Homeowner
144480,Homeowner
144482,Homeowner
144515,Homeowner
144516,Homeowner
144530,Homeowner
144561,Homeowner
144753,Homeowner
144804,Homeowner
144808,Homeowner
144886,Renters
144888,Renters
145054,Homeowner
145088,Homeowner
145201,Homeowner
145267,Homeowner
145340,Homeowner
145341,Homeowner
145377,Homeowner
145418,Homeowner
145667,Homeowner
145702,Homeowner
145762,Homeowner
145782,Homeowner
145802,Homeowner
145858,Homeowner
145889,Renters
145895,Homeowner
145930,Homeowner
